area,construction_type,region,cimento,areia,tijolos
46.9,residential,urban,8.7,23.6,2.719
301.0,residential,urban,59.9,208.4,18.095
131.7,residential,urban,26.0,64.3,8.396
91.3,residential,urban,17.7,58.5,5.788
17.0,residential,urban,3.6,11.3,1.007
17.0,commercial,urban,3.6,10.4,1.259
6.0,commercial,urban,1.2,4.2,0.415
201.1,commercial,rural,39.1,126.3,13.116
91.9,residential,suburban,20.2,46.0,5.72
123.1,residential,urban,25.7,80.7,7.956
2.1,residential,urban,0.4,1.2,0.121
350.4,commercial,urban,75.9,187.1,26.543
178.6,residential,urban,39.2,89.5,12.115
23.9,residential,urban,4.7,14.7,1.584
20.1,residential,urban,4.2,9.8,1.27
20.3,commercial,urban,4.7,12.1,1.649
36.3,residential,rural,6.8,23.5,2.077
74.4,residential,rural,13.8,38.4,4.353
56.6,residential,urban,10.5,35.8,3.812
34.4,residential,urban,6.6,18.5,2.167
94.6,commercial,suburban,21.6,47.1,7.312
15.0,residential,urban,2.8,8.7,0.998
34.6,commercial,rural,7.4,18.9,2.199
45.6,commercial,urban,9.8,30.8,3.406
60.9,residential,urban,12.6,37.4,3.972
153.8,residential,urban,33.3,87.7,10.057
22.3,residential,rural,4.9,11.9,1.36
72.2,industrial,urban,15.6,37.4,6.39
89.8,residential,urban,19.4,55.1,6.082
4.8,residential,urban,1.0,2.3,0.312
93.5,commercial,urban,19.4,46.6,6.683
18.7,residential,urban,3.5,11.0,1.122
6.7,commercial,rural,1.3,4.3,0.502
297.4,commercial,suburban,68.2,169.3,20.368
337.1,industrial,suburban,76.0,200.8,31.303
165.2,residential,suburban,32.3,102.0,10.766
36.3,residential,suburban,6.7,20.2,1.972
10.3,industrial,suburban,2.5,6.5,0.87
115.3,industrial,rural,27.5,70.9,8.442
58.0,residential,urban,11.7,29.1,3.976
13.0,residential,suburban,2.8,8.6,0.793
68.4,residential,urban,12.4,36.5,4.208
3.5,commercial,suburban,0.8,1.8,0.264
240.0,commercial,urban,51.4,143.5,19.515
29.9,residential,suburban,6.2,16.3,1.765
108.6,residential,suburban,22.4,54.5,5.994
37.4,residential,rural,8.1,20.3,2.045
73.4,residential,urban,13.6,38.6,4.224
79.1,residential,urban,16.6,48.5,4.747
20.4,residential,suburban,3.9,10.0,1.227
349.3,residential,rural,65.8,184.3,20.909
149.2,residential,suburban,27.4,96.7,8.412
280.5,residential,rural,58.2,141.5,15.879
225.2,commercial,urban,46.9,133.0,15.944
91.1,commercial,rural,17.7,61.4,5.85
254.9,commercial,suburban,52.8,124.3,17.137
9.3,commercial,rural,1.8,6.0,0.674
21.8,commercial,urban,4.9,10.7,1.76
4.6,residential,suburban,0.9,3.2,0.268
39.4,residential,suburban,7.1,23.7,2.385
49.2,industrial,suburban,11.0,36.4,4.242
31.7,residential,urban,6.3,22.8,1.792
176.5,residential,urban,36.2,114.2,11.229
44.1,residential,urban,8.8,25.0,2.841
33.0,commercial,rural,6.5,23.2,2.465
78.2,residential,urban,15.6,48.5,5.376
15.2,residential,urban,3.1,10.5,0.885
162.0,commercial,urban,33.3,100.7,13.185
7.7,industrial,suburban,1.5,5.4,0.695
433.4,residential,suburban,84.8,285.7,26.066
147.9,residential,suburban,29.2,73.6,8.571
22.2,industrial,suburban,4.7,15.2,2.119
1.0,residential,rural,0.2,0.6,0.058
169.0,residential,suburban,31.1,99.3,9.886
122.7,residential,rural,25.5,87.7,6.934
130.6,residential,suburban,26.8,71.6,7.535
147.5,residential,suburban,31.2,76.2,8.479
7.7,commercial,urban,1.7,4.8,0.628
44.4,residential,urban,9.1,24.7,2.544
12.3,residential,urban,2.7,7.5,0.77
198.9,residential,suburban,37.5,120.1,10.876
97.6,industrial,suburban,22.4,70.7,9.347
40.2,residential,suburban,7.7,21.3,2.221
6.6,residential,suburban,1.2,4.4,0.385
37.2,residential,suburban,7.0,22.3,2.055
39.3,commercial,rural,8.8,19.7,2.458
130.8,commercial,suburban,29.3,86.5,9.35
101.5,commercial,suburban,22.2,50.4,7.601
218.2,industrial,urban,45.2,158.9,19.152
63.9,residential,suburban,13.7,42.8,3.453
12.7,residential,urban,2.3,6.8,0.81
124.9,industrial,suburban,26.6,86.7,11.891
143.0,residential,urban,30.8,82.7,8.121
82.4,residential,suburban,15.7,48.3,4.77
147.4,residential,suburban,28.7,80.6,8.691
68.1,residential,rural,14.5,32.9,3.785
74.0,residential,suburban,16.1,46.8,4.824
55.8,industrial,rural,12.0,31.9,4.914
2.6,residential,rural,0.5,1.8,0.139
11.4,residential,rural,2.4,7.8,0.689
3.2,industrial,rural,0.8,2.2,0.257
101.2,residential,urban,19.2,51.1,6.831
37.7,commercial,rural,7.5,24.8,2.729
71.0,residential,urban,13.9,45.1,4.101
238.1,commercial,rural,48.9,135.2,16.546
28.7,industrial,urban,6.3,15.4,2.69
52.8,residential,rural,9.5,30.9,2.769
140.9,residential,rural,26.2,67.7,8.715
26.0,industrial,urban,5.8,16.3,2.318
8.0,commercial,rural,1.8,5.0,0.583
